State	County	Start date	End date	Average M/R
Oklahoma	craig	04/22/2020	05/21/2020	0
Texas	crane	04/22/2020	05/31/2020	0.010029644268774705
North Carolina	craven	04/22/2020	05/31/2020	0.06364787906971128
Oklahoma	creek	04/22/2020	05/21/2020	0.0802530989074126
Oregon	crook	04/22/2020	05/31/2020	0
Texas	crosby	04/22/2020	05/31/2020	0.4583333333333333
North Carolina	cumberland	04/22/2020	05/31/2020	0.02878144462534511
North Carolina	currituck	04/22/2020	05/31/2020	0
Oregon	curry	04/22/2020	05/31/2020	0
Idaho	custer	04/22/2020	05/31/2020	0
Oklahoma	custer	04/22/2020	05/21/2020	0
Texas	dallam	04/22/2020	05/31/2020	0.07857914743924806
Texas	dallas	04/22/2020	05/31/2020	0.03051949477778615
North Carolina	dare	04/22/2020	05/31/2020	0.07689659755449228
North Carolina	davidson	04/22/2020	05/31/2020	0.03784825029804719
North Carolina	davie	04/22/2020	05/31/2020	0.051067539789329944
Utah	davis	04/22/2020	06/10/2020	0.0056846517168678634
Texas	dawson	04/22/2020	05/31/2020	0.034802790159527905
Texas	dewitt	04/22/2020	05/31/2020	0.06310224089635855
Texas	deaf smith	04/22/2020	05/31/2020	0.028466916333159953
Oklahoma	delaware	04/22/2020	05/21/2020	0.14784691650012108
Texas	delta	04/22/2020	05/31/2020	0
Texas	denton	04/22/2020	05/31/2020	0.025669520600985346
Oregon	deschutes	04/22/2020	05/31/2020	0
Oklahoma	dewey	04/22/2020	05/21/2020	0
Texas	dickens	04/22/2020	05/31/2020	0
Texas	dimmit	04/22/2020	05/31/2020	0
Texas	donley	04/22/2020	05/31/2020	0
Oregon	douglas	04/22/2020	05/31/2020	0
Washington	douglas	04/22/2020	05/31/2020	0.021531149539584703
North Carolina	duplin	04/22/2020	05/31/2020	0.014707176863372196
North Carolina	durham	04/22/2020	05/31/2020	0.032497898143715946
Texas	duval	04/22/2020	05/31/2020	0
Texas	eastland	04/22/2020	05/31/2020	0
Texas	ector	04/22/2020	05/31/2020	0.04237613974709483
North Carolina	edgecombe	04/22/2020	05/31/2020	0.04234075373094196
Texas	el paso	04/22/2020	05/31/2020	0.023160762747594023
Texas	ellis	04/22/2020	05/31/2020	0.04390609025024887
Idaho	elmore	04/22/2020	05/31/2020	0.06300373099740451
Texas	erath	04/22/2020	05/31/2020	0.07170033397974573
Texas	falls	04/22/2020	05/31/2020	0
Texas	fannin	04/22/2020	05/31/2020	0.036378688963705545
Texas	fayette	04/22/2020	05/31/2020	0.05775236805870387
West Virginia	fayette	04/22/2020	06/10/2020	0.03604619141725135
Washington	ferry	04/22/2020	05/31/2020	0
Texas	floyd	04/22/2020	05/31/2020	0
North Carolina	forsyth	04/22/2020	05/31/2020	0.016106285403986335
Texas	fort bend	04/22/2020	05/31/2020	0.024543076916868967
North Carolina	franklin	04/22/2020	05/31/2020	0.17665877540603442
Texas	franklin	04/22/2020	05/31/2020	0
Washington	franklin	04/22/2020	05/31/2020	0.037179699948966985
Texas	freestone	04/22/2020	05/31/2020	0
Idaho	fremont	04/22/2020	05/31/2020	0
Texas	frio	04/22/2020	05/31/2020	0
Texas	gaines	04/22/2020	05/31/2020	0
Texas	galveston	04/22/2020	05/31/2020	0.04277412142835909
Oklahoma	garfield	04/22/2020	05/21/2020	0.057372725064877436
Oklahoma	garvin	04/22/2020	05/21/2020	0.05308455433455433
North Carolina	gaston	04/22/2020	05/31/2020	0.025038897770227497
North Carolina	gates	04/22/2020	05/31/2020	0.011465579710144927
Idaho	gem	04/22/2020	05/31/2020	0
Texas	gillespie	04/22/2020	05/31/2020	0
Texas	goliad	04/22/2020	05/31/2020	0
Texas	gonzales	04/22/2020	05/31/2020	0.040105646619253574
Idaho	gooding	04/22/2020	05/31/2020	0
Oklahoma	grady	04/22/2020	05/21/2020	0.03892936238775898
Oklahoma	grant	04/22/2020	05/21/2020	0
Oregon	grant	04/22/2020	05/31/2020	0
Washington	grant	04/22/2020	05/31/2020	0.016678949552002775
West Virginia	grant	04/22/2020	06/10/2020	0
North Carolina	granville	04/22/2020	05/31/2020	0.03450461465057089
Texas	gray	04/22/2020	05/31/2020	0.005463997189021185
Washington	grays harbor	04/22/2020	05/31/2020	0
Texas	grayson	04/22/2020	05/31/2020	0.0016868823419180102
West Virginia	greenbrier	04/22/2020	06/10/2020	0
North Carolina	greene	04/22/2020	05/31/2020	0.01625040507802131
Oklahoma	greer	04/22/2020	05/21/2020	0.09747990397580561
Texas	gregg	04/22/2020	05/31/2020	0.007401828754524864
Texas	grimes	04/22/2020	05/31/2020	0.03353192831897646
Texas	guadalupe	04/22/2020	05/31/2020	0
North Carolina	guilford	04/22/2020	05/31/2020	0.06092081980461037
Texas	hale	04/22/2020	05/31/2020	0.12194322644656638
North Carolina	halifax	04/22/2020	05/31/2020	0.012288178582942436
Texas	hamilton	04/22/2020	05/31/2020	0.02767857142857143
West Virginia	hampshire	04/22/2020	06/10/2020	0.08449025057288002
West Virginia	hancock	04/22/2020	06/10/2020	0.0016666666666666666
Texas	hansford	04/22/2020	05/31/2020	0.0939377675987583
Texas	hardin	04/22/2020	05/31/2020	0.031562249608441874
West Virginia	hardy	04/22/2020	06/10/2020	0.0008
North Carolina	harnett	04/22/2020	05/31/2020	0.06432928762409187
Oklahoma	harper	04/22/2020	05/21/2020	0
Texas	harris	04/22/2020	05/31/2020	0.0194966931531493
Texas	harrison	04/22/2020	05/31/2020	0.07280158256402647
West Virginia	harrison	04/22/2020	06/10/2020	0.02870070050780493
